,date,value
589,2017-08-13,169
590,2017-08-14,265
591,2017-08-15,224
592,2017-08-16,253
593,2017-08-17,365
594,2017-08-18,261
595,2017-08-19,156
596,2017-08-20,188
597,2017-08-21,234
598,2017-08-22,254
599,2017-08-23,218
600,2017-08-24,219
601,2017-08-25,230
602,2017-08-26,182
603,2017-08-27,200
604,2017-08-28,236
605,2017-08-29,212
606,2017-08-30,194
607,2017-08-31,190
608,2017-09-01,201
609,2017-09-02,128
610,2017-09-03,144
611,2017-09-04,278
612,2017-09-05,226
613,2017-09-06,222
614,2017-09-07,216
615,2017-09-08,202
616,2017-09-09,143
617,2017-09-10,177
618,2017-09-11,335
619,2017-09-12,341
620,2017-09-13,392
621,2017-09-14,473
622,2017-09-15,421
623,2017-09-16,264
624,2017-09-17,302
625,2017-09-18,509
626,2017-09-19,570
627,2017-09-20,496
628,2017-09-21,478
629,2017-09-22,443
630,2017-09-23,369
631,2017-09-24,382
632,2017-09-25,654
633,2017-09-26,679
634,2017-09-27,649
635,2017-09-28,658
636,2017-09-29,635
637,2017-09-30,592
638,2017-10-01,588
639,2017-10-02,755
640,2017-10-03,656
641,2017-10-04,559
642,2017-10-05,640
643,2017-10-06,549
644,2017-10-07,510
645,2017-10-08,485
646,2017-10-09,558
647,2017-10-10,592
648,2017-10-11,696
649,2017-10-12,683
650,2017-10-13,603
651,2017-10-14,539
652,2017-10-15,620
653,2017-10-16,788
654,2017-10-17,833
655,2017-10-18,758
656,2017-10-19,673
657,2017-10-20,638
658,2017-10-21,544
659,2017-10-22,656
660,2017-10-23,761
661,2017-10-24,757
662,2017-10-25,635
663,2017-10-26,590
664,2017-10-27,624
665,2017-10-28,550
666,2017-10-29,638
667,2017-10-30,838
668,2017-10-31,718
669,2017-11-01,721
670,2017-11-02,692
671,2017-11-03,610
672,2017-11-04,533
673,2017-11-05,588
674,2017-11-06,785
675,2017-11-07,743
676,2017-11-08,698
677,2017-11-09,632
678,2017-11-10,579
679,2017-11-11,574
680,2017-11-12,630
681,2017-11-13,759
682,2017-11-14,678
683,2017-11-15,664
684,2017-11-16,629
685,2017-11-17,631
686,2017-11-18,507
687,2017-11-19,675
688,2017-11-20,792
689,2017-11-21,697
690,2017-11-22,750
691,2017-11-23,633
692,2017-11-24,533
693,2017-11-25,491
694,2017-11-26,607
695,2017-11-27,709
696,2017-11-28,659
697,2017-11-29,586
698,2017-11-30,573
699,2017-12-01,559
700,2017-12-02,480
701,2017-12-03,580
702,2017-12-04,656
703,2017-12-05,606
704,2017-12-06,504
705,2017-12-07,470
706,2017-12-08,409
707,2017-12-09,358
708,2017-12-10,433
709,2017-12-11,644
710,2017-12-12,524
711,2017-12-13,486
712,2017-12-14,412
713,2017-12-15,473
714,2017-12-16,343
715,2017-12-17,379
716,2017-12-18,620
717,2017-12-19,538
718,2017-12-20,478
719,2017-12-21,454
720,2017-12-22,410
721,2017-12-23,302
722,2017-12-24,354
723,2017-12-25,558
724,2017-12-26,501
725,2017-12-27,445
726,2017-12-28,499
727,2017-12-29,425
728,2017-12-30,308
729,2017-12-31,270
730,2018-01-01,328
731,2018-01-02,554
732,2018-01-03,513
733,2018-01-04,414
734,2018-01-05,425
735,2018-01-06,333
736,2018-01-07,375
737,2018-01-08,462
738,2018-01-09,436
739,2018-01-10,427
740,2018-01-11,353
741,2018-01-12,312
742,2018-01-13,203
743,2018-01-14,234
744,2018-01-15,324
745,2018-01-16,291
746,2018-01-17,300
747,2018-01-18,311
748,2018-01-19,278
749,2018-01-20,153
750,2018-01-21,191
751,2018-01-22,239
752,2018-01-23,246
753,2018-01-24,221
754,2018-01-25,244
755,2018-01-26,216
756,2018-01-27,148
757,2018-01-28,170
758,2018-01-29,243
759,2018-01-30,217
760,2018-01-31,210
761,2018-02-01,183
762,2018-02-02,168
763,2018-02-03,140
764,2018-02-04,126
765,2018-02-05,188
766,2018-02-06,200
767,2018-02-07,184
768,2018-02-08,170
769,2018-02-09,159
770,2018-02-10,108
771,2018-02-11,130
772,2018-02-12,186
773,2018-02-13,155
774,2018-02-14,106
775,2018-02-15,69
776,2018-02-16,58
777,2018-02-17,69
778,2018-02-18,77
779,2018-02-19,88
780,2018-02-20,128
781,2018-02-21,220
782,2018-02-22,246
783,2018-02-23,248
784,2018-02-24,230
785,2018-02-25,280
786,2018-02-26,473
787,2018-02-27,480
788,2018-02-28,425
789,2018-03-01,516
790,2018-03-02,525
791,2018-03-03,408
792,2018-03-04,445
793,2018-03-05,597
794,2018-03-06,570
795,2018-03-07,562
796,2018-03-08,544
797,2018-03-09,523
798,2018-03-10,404
799,2018-03-11,489
800,2018-03-12,743
801,2018-03-13,628
802,2018-03-14,543
803,2018-03-15,646
804,2018-03-16,566
805,2018-03-17,508
806,2018-03-18,596
807,2018-03-19,803
808,2018-03-20,721
809,2018-03-21,718
810,2018-03-22,692
811,2018-03-23,641
812,2018-03-24,601
813,2018-03-25,804
814,2018-03-26,889
815,2018-03-27,797
816,2018-03-28,762
817,2018-03-29,679
818,2018-03-30,620
819,2018-03-31,506
820,2018-04-01,637
821,2018-04-02,703
822,2018-04-03,506
823,2018-04-04,384
824,2018-04-05,382
825,2018-04-06,419
826,2018-04-07,483
827,2018-04-08,618
828,2018-04-09,751
829,2018-04-10,663
830,2018-04-11,588
831,2018-04-12,599
832,2018-04-13,536
833,2018-04-14,539
834,2018-04-15,653
835,2018-04-16,691
836,2018-04-17,666
837,2018-04-18,555
838,2018-04-19,625
839,2018-04-20,665
840,2018-04-21,509
841,2018-04-22,545
842,2018-04-23,671
843,2018-04-24,564
844,2018-04-25,581
845,2018-04-26,577
846,2018-04-27,558
847,2018-04-28,488
848,2018-04-29,661
849,2018-04-30,715
850,2018-05-01,545
851,2018-05-02,624
852,2018-05-03,564
853,2018-05-04,535
854,2018-05-05,461
855,2018-05-06,612
856,2018-05-07,748
857,2018-05-08,675
858,2018-05-09,603
859,2018-05-10,553
860,2018-05-11,489
861,2018-05-12,560
862,2018-05-13,594
863,2018-05-14,621
864,2018-05-15,592
865,2018-05-16,606
866,2018-05-17,557
867,2018-05-18,544
868,2018-05-19,445
869,2018-05-20,552
870,2018-05-21,632
871,2018-05-22,534
872,2018-05-23,567
873,2018-05-24,521
874,2018-05-25,442
875,2018-05-26,379
876,2018-05-27,464
877,2018-05-28,666
878,2018-05-29,547
879,2018-05-30,586
880,2018-05-31,593
881,2018-06-01,475
882,2018-06-02,367
883,2018-06-03,435
884,2018-06-04,555
885,2018-06-05,620
886,2018-06-06,463
887,2018-06-07,490
888,2018-06-08,377
889,2018-06-09,428
890,2018-06-10,426
891,2018-06-11,650
892,2018-06-12,600
893,2018-06-13,552
894,2018-06-14,481
895,2018-06-15,466
896,2018-06-16,415
897,2018-06-17,355
898,2018-06-18,383
899,2018-06-19,527
900,2018-06-20,555
901,2018-06-21,475
902,2018-06-22,597
903,2018-06-23,468
904,2018-06-24,448
905,2018-06-25,597
906,2018-06-26,541
907,2018-06-27,450
908,2018-06-28,469
909,2018-06-29,460
910,2018-06-30,381
911,2018-07-01,469
912,2018-07-02,798
913,2018-07-03,682
914,2018-07-04,629
915,2018-07-05,643
916,2018-07-06,566
917,2018-07-07,531
918,2018-07-08,490
919,2018-07-09,674
920,2018-07-10,627
921,2018-07-11,587
922,2018-07-12,523
923,2018-07-13,470
924,2018-07-14,474
925,2018-07-15,483
926,2018-07-16,568
927,2018-07-17,568
928,2018-07-18,529
929,2018-07-19,539
930,2018-07-20,534
931,2018-07-21,554
932,2018-07-22,548
933,2018-07-23,673
934,2018-07-24,576
935,2018-07-25,598
936,2018-07-26,531
937,2018-07-27,544
938,2018-07-28,492
939,2018-07-29,542
940,2018-07-30,598
941,2018-07-31,564
942,2018-08-01,552
943,2018-08-02,518
944,2018-08-03,465
945,2018-08-04,381
946,2018-08-05,482
947,2018-08-06,544
948,2018-08-07,498
949,2018-08-08,445
950,2018-08-09,479
951,2018-08-10,470
952,2018-08-11,420
953,2018-08-12,411
954,2018-08-13,518
955,2018-08-14,524
956,2018-08-15,506
957,2018-08-16,507
958,2018-08-17,418
959,2018-08-18,378
960,2018-08-19,499
961,2018-08-20,548
962,2018-08-21,495
963,2018-08-22,512
964,2018-08-23,542
965,2018-08-24,500
966,2018-08-25,420
967,2018-08-26,452
968,2018-08-27,492
969,2018-08-28,455
970,2018-08-29,461
971,2018-08-30,458
972,2018-08-31,428
973,2018-09-01,343
974,2018-09-02,354
975,2018-09-03,342
976,2018-09-04,406
977,2018-09-05,345
978,2018-09-06,336
979,2018-09-07,318
980,2018-09-08,257
981,2018-09-09,255
982,2018-09-10,560
983,2018-09-11,516
984,2018-09-12,603
985,2018-09-13,455
986,2018-09-14,417
987,2018-09-15,345
988,2018-09-16,449
989,2018-09-17,715
990,2018-09-18,636
991,2018-09-19,511
992,2018-09-20,515
993,2018-09-21,495
994,2018-09-22,352
995,2018-09-23,372
996,2018-09-24,553
997,2018-09-25,706
998,2018-09-26,785
999,2018-09-27,670
1000,2018-09-28,741
1001,2018-09-29,630
1002,2018-09-30,764
1003,2018-10-01,1060
1004,2018-10-02,871
1005,2018-10-03,807
1006,2018-10-04,843
1007,2018-10-05,729
1008,2018-10-06,702
1009,2018-10-07,969
1010,2018-10-08,1052
1011,2018-10-09,710
1012,2018-10-10,675
1013,2018-10-11,832
1014,2018-10-12,745
1015,2018-10-13,687
1016,2018-10-14,864
1017,2018-10-15,1010
1018,2018-10-16,895
1019,2018-10-17,828
1020,2018-10-18,837
1021,2018-10-19,732
1022,2018-10-20,633
1023,2018-10-21,832
1024,2018-10-22,986
1025,2018-10-23,781
1026,2018-10-24,709
1027,2018-10-25,661
1028,2018-10-26,616
1029,2018-10-27,627
1030,2018-10-28,808
1031,2018-10-29,886
1032,2018-10-30,769
1033,2018-10-31,722
1034,2018-11-01,686
1035,2018-11-02,684
1036,2018-11-03,578
1037,2018-11-04,756
1038,2018-11-05,920
1039,2018-11-06,683
1040,2018-11-07,643
1041,2018-11-08,617
1042,2018-11-09,692
1043,2018-11-10,556
1044,2018-11-11,737
1045,2018-11-12,883
1046,2018-11-13,903
1047,2018-11-14,903
